plate	cycle	well	tile
1	13	A1	9
1	14	A1	9
1	1	A1	10
1	2	A1	10
1	3	A1	10
1	4	A1	10
1	5	A1	10
1	6	A1	10
1	7	A1	10
1	8	A1	10
1	9	A1	10
1	10	A1	10
1	11	A1	10
1	12	A1	10
1	13	A1	10
1	14	A1	10
1	1	A1	11
1	2	A1	11
1	3	A1	11
1	4	A1	11
1	5	A1	11
1	6	A1	11
1	7	A1	11
1	8	A1	11
1	9	A1	11
1	10	A1	11
1	11	A1	11
1	12	A1	11
1	13	A1	11
1	14	A1	11
1	1	A1	12
1	2	A1	12
1	3	A1	12
1	4	A1	12
1	5	A1	12
1	6	A1	12
1	7	A1	12
1	8	A1	12
1	9	A1	12
1	10	A1	12
1	11	A1	12
1	12	A1	12
1	13	A1	12
1	14	A1	12
1	1	A1	13
1	2	A1	13
1	3	A1	13
1	4	A1	13
1	5	A1	13
1	6	A1	13
1	7	A1	13
1	8	A1	13
1	9	A1	13
1	10	A1	13
1	11	A1	13
1	12	A1	13
1	13	A1	13
1	14	A1	13
1	1	A1	14
1	2	A1	14
1	3	A1	14
1	4	A1	14
1	5	A1	14
1	6	A1	14
1	7	A1	14
1	8	A1	14
1	9	A1	14
1	10	A1	14
1	11	A1	14
1	12	A1	14
1	13	A1	14
1	14	A1	14
1	1	A1	15
1	2	A1	15
1	3	A1	15
1	4	A1	15
1	5	A1	15
1	6	A1	15
1	7	A1	15
1	8	A1	15
1	9	A1	15
1	10	A1	15
1	11	A1	15
1	12	A1	15
1	13	A1	15
1	14	A1	15
1	1	A1	16
1	2	A1	16
1	3	A1	16
1	4	A1	16
1	5	A1	16
1	6	A1	16
1	7	A1	16
1	8	A1	16
1	9	A1	16
1	10	A1	16
1	11	A1	16
1	12	A1	16
1	13	A1	16
1	14	A1	16
1	1	A1	17
1	2	A1	17
1	3	A1	17
1	4	A1	17
1	5	A1	17
1	6	A1	17
1	7	A1	17
1	8	A1	17
1	9	A1	17
1	10	A1	17
1	11	A1	17
1	12	A1	17
1	13	A1	17
1	14	A1	17
1	1	A1	18
1	2	A1	18
1	3	A1	18
1	4	A1	18
1	5	A1	18
1	6	A1	18
1	7	A1	18
1	8	A1	18
1	9	A1	18
1	10	A1	18
1	11	A1	18
1	12	A1	18
1	13	A1	18
1	14	A1	18
1	1	A1	19
1	2	A1	19
1	3	A1	19
1	4	A1	19
1	5	A1	19
1	6	A1	19
1	7	A1	19
1	8	A1	19
1	9	A1	19
1	10	A1	19
1	11	A1	19
1	12	A1	19
1	13	A1	19
1	14	A1	19
1	1	A1	20
1	2	A1	20
1	3	A1	20
1	4	A1	20
1	5	A1	20
1	6	A1	20
1	7	A1	20
1	8	A1	20
1	9	A1	20
1	10	A1	20
1	11	A1	20
1	12	A1	20
1	13	A1	20
1	14	A1	20
1	1	A1	21
1	2	A1	21
1	3	A1	21
1	4	A1	21
1	5	A1	21
1	6	A1	21
1	7	A1	21
1	8	A1	21
1	9	A1	21
1	10	A1	21
1	11	A1	21
1	12	A1	21
1	13	A1	21
1	14	A1	21
1	1	A1	22
1	2	A1	22
1	3	A1	22
1	4	A1	22
1	5	A1	22
1	6	A1	22
1	7	A1	22
1	8	A1	22
1	9	A1	22
1	10	A1	22
1	11	A1	22
1	12	A1	22
1	13	A1	22
1	14	A1	22
1	1	A1	23
1	2	A1	23
1	3	A1	23
1	4	A1	23
1	5	A1	23
1	6	A1	23
1	7	A1	23
1	8	A1	23
1	9	A1	23
1	10	A1	23
1	11	A1	23
1	12	A1	23
1	13	A1	23
1	14	A1	23
1	1	A1	24
1	2	A1	24
1	3	A1	24
1	4	A1	24
1	5	A1	24
1	6	A1	24
1	7	A1	24
1	8	A1	24
1	9	A1	24
1	10	A1	24
1	11	A1	24
1	12	A1	24
1	13	A1	24
1	14	A1	24
1	1	A1	25
1	2	A1	25
1	3	A1	25
1	4	A1	25
1	5	A1	25
1	6	A1	25
1	7	A1	25
1	8	A1	25
1	9	A1	25
1	10	A1	25
1	11	A1	25
1	12	A1	25
1	13	A1	25
1	14	A1	25
1	1	A1	26
1	2	A1	26
1	3	A1	26
1	4	A1	26
1	5	A1	26
1	6	A1	26
1	7	A1	26
1	8	A1	26
1	9	A1	26
1	10	A1	26
1	11	A1	26
1	12	A1	26
1	13	A1	26
1	14	A1	26
1	1	A1	27
1	2	A1	27
1	3	A1	27
1	4	A1	27
1	5	A1	27
1	6	A1	27
1	7	A1	27
1	8	A1	27
1	9	A1	27
1	10	A1	27
1	11	A1	27
1	12	A1	27
1	13	A1	27
1	14	A1	27
1	1	A1	28
1	2	A1	28
1	3	A1	28
1	4	A1	28
1	5	A1	28
1	6	A1	28
1	7	A1	28
1	8	A1	28
1	9	A1	28
1	10	A1	28
1	11	A1	28
1	12	A1	28
1	13	A1	28
1	14	A1	28
1	1	A1	29
1	2	A1	29
1	3	A1	29
1	4	A1	29
1	5	A1	29
1	6	A1	29
1	7	A1	29
1	8	A1	29
1	9	A1	29
1	10	A1	29
1	11	A1	29
1	12	A1	29
1	13	A1	29
1	14	A1	29
1	1	A1	30
1	2	A1	30
1	3	A1	30
1	4	A1	30
1	5	A1	30
1	6	A1	30
1	7	A1	30
1	8	A1	30
1	9	A1	30
1	10	A1	30
1	11	A1	30
1	12	A1	30
1	13	A1	30
1	14	A1	30
1	1	A1	31
1	2	A1	31
1	3	A1	31
1	4	A1	31
1	5	A1	31
1	6	A1	31
1	7	A1	31
1	8	A1	31
1	9	A1	31
1	10	A1	31
1	11	A1	31
1	12	A1	31
1	13	A1	31
1	14	A1	31
1	1	A1	32
1	2	A1	32
1	3	A1	32
1	4	A1	32
1	5	A1	32
1	6	A1	32
1	7	A1	32
1	8	A1	32
1	9	A1	32
1	10	A1	32
1	11	A1	32
1	12	A1	32
1	13	A1	32
1	14	A1	32
1	1	A1	33
1	2	A1	33
1	3	A1	33
1	4	A1	33
1	5	A1	33
1	6	A1	33
1	7	A1	33
1	8	A1	33
1	9	A1	33
1	10	A1	33
1	11	A1	33
1	12	A1	33
1	13	A1	33
1	14	A1	33
1	1	A1	34
1	2	A1	34
1	3	A1	34
1	4	A1	34
1	5	A1	34
1	6	A1	34
1	7	A1	34
1	8	A1	34
1	9	A1	34
1	10	A1	34
1	11	A1	34
1	12	A1	34
1	13	A1	34
1	14	A1	34
1	1	A1	35
1	2	A1	35
1	3	A1	35
1	4	A1	35
1	5	A1	35
1	6	A1	35
1	7	A1	35
1	8	A1	35
1	9	A1	35
1	10	A1	35
1	11	A1	35
1	12	A1	35
1	13	A1	35
1	14	A1	35
1	1	A1	36
1	2	A1	36
1	3	A1	36
1	4	A1	36
1	5	A1	36
1	6	A1	36
1	7	A1	36
1	8	A1	36
1	9	A1	36
1	10	A1	36
1	11	A1	36
1	12	A1	36
1	13	A1	36
1	14	A1	36
1	1	A1	37
1	2	A1	37
1	3	A1	37
1	4	A1	37
1	5	A1	37
1	6	A1	37
1	7	A1	37
1	8	A1	37
1	9	A1	37
1	10	A1	37
1	11	A1	37
1	12	A1	37
1	13	A1	37
1	14	A1	37
1	1	A1	38
1	2	A1	38
1	3	A1	38
1	4	A1	38
1	5	A1	38
1	6	A1	38
1	7	A1	38
1	8	A1	38
1	9	A1	38
1	10	A1	38
1	11	A1	38
1	12	A1	38
1	13	A1	38
1	14	A1	38
1	1	A1	39
1	2	A1	39
1	3	A1	39
1	4	A1	39
1	5	A1	39
1	6	A1	39
1	7	A1	39
1	8	A1	39
1	9	A1	39
1	10	A1	39
1	11	A1	39
1	12	A1	39
1	13	A1	39
1	14	A1	39
1	1	A1	40
1	2	A1	40
1	3	A1	40
1	4	A1	40
1	5	A1	40
1	6	A1	40
1	7	A1	40
1	8	A1	40
1	9	A1	40
1	10	A1	40
1	11	A1	40
1	12	A1	40
1	13	A1	40
1	14	A1	40
1	1	A1	41
1	2	A1	41
1	3	A1	41
1	4	A1	41
1	5	A1	41
1	6	A1	41
1	7	A1	41
1	8	A1	41
1	9	A1	41
1	10	A1	41
1	11	A1	41
1	12	A1	41
1	13	A1	41
1	14	A1	41
1	1	A1	42
1	2	A1	42
1	3	A1	42
1	4	A1	42
1	5	A1	42
1	6	A1	42
1	7	A1	42
1	8	A1	42
1	9	A1	42
1	10	A1	42
1	11	A1	42
1	12	A1	42
1	13	A1	42
1	14	A1	42
1	1	A1	43
1	2	A1	43
1	3	A1	43
1	4	A1	43
1	5	A1	43
1	6	A1	43
1	7	A1	43
1	8	A1	43
1	9	A1	43
1	10	A1	43
1	11	A1	43
1	12	A1	43
1	13	A1	43
1	14	A1	43
1	1	A1	44
1	2	A1	44
1	3	A1	44
1	4	A1	44
1	5	A1	44
1	6	A1	44
1	7	A1	44
1	8	A1	44
1	9	A1	44
1	10	A1	44
1	11	A1	44
1	12	A1	44
1	13	A1	44
1	14	A1	44
1	1	A1	45
1	2	A1	45
1	3	A1	45
1	4	A1	45
1	5	A1	45
1	6	A1	45
1	7	A1	45
1	8	A1	45
1	9	A1	45
1	10	A1	45
1	11	A1	45
1	12	A1	45
1	13	A1	45
1	14	A1	45
1	1	A1	46
1	2	A1	46
1	3	A1	46
1	4	A1	46
1	5	A1	46
1	6	A1	46
1	7	A1	46
1	8	A1	46
1	9	A1	46
1	10	A1	46
1	11	A1	46
1	12	A1	46
1	13	A1	46
1	14	A1	46
1	1	A1	47
1	2	A1	47
1	3	A1	47
1	4	A1	47
1	5	A1	47
1	6	A1	47
1	7	A1	47
1	8	A1	47
1	9	A1	47
1	10	A1	47
1	11	A1	47
1	12	A1	47
1	13	A1	47
1	14	A1	47
1	1	A1	48
1	2	A1	48
1	3	A1	48
1	4	A1	48
1	5	A1	48
1	6	A1	48
1	7	A1	48
1	8	A1	48
1	9	A1	48
1	10	A1	48
1	11	A1	48
1	12	A1	48
1	13	A1	48
1	14	A1	48
1	1	A1	49
1	2	A1	49
1	3	A1	49
1	4	A1	49
1	5	A1	49
1	6	A1	49
1	7	A1	49
1	8	A1	49
1	9	A1	49
1	10	A1	49
1	11	A1	49
1	12	A1	49
1	13	A1	49
1	14	A1	49
1	1	A1	50
1	2	A1	50
1	3	A1	50
1	4	A1	50
1	5	A1	50
1	6	A1	50
1	7	A1	50
1	8	A1	50
1	9	A1	50
1	10	A1	50
1	11	A1	50
1	12	A1	50
1	13	A1	50
1	14	A1	50
1	1	A1	51
1	2	A1	51
1	3	A1	51
1	4	A1	51
1	5	A1	51
1	6	A1	51
1	7	A1	51
1	8	A1	51
1	9	A1	51
1	10	A1	51
1	11	A1	51
1	12	A1	51
1	13	A1	51
1	14	A1	51
1	1	A1	52
1	2	A1	52
1	3	A1	52
1	4	A1	52
1	5	A1	52
1	6	A1	52
1	7	A1	52
1	8	A1	52
1	9	A1	52
1	10	A1	52
1	11	A1	52
1	12	A1	52
1	13	A1	52
1	14	A1	52
1	1	A1	53
1	2	A1	53
1	3	A1	53
1	4	A1	53
1	5	A1	53
1	6	A1	53
1	7	A1	53
1	8	A1	53
1	9	A1	53
1	10	A1	53
1	11	A1	53
1	12	A1	53
1	13	A1	53
1	14	A1	53
1	1	A1	54
1	2	A1	54
1	3	A1	54
1	4	A1	54
1	5	A1	54
1	6	A1	54
1	7	A1	54
1	8	A1	54
1	9	A1	54
1	10	A1	54
1	11	A1	54
1	12	A1	54
1	13	A1	54
1	14	A1	54
1	1	A1	55
1	2	A1	55
1	3	A1	55
1	4	A1	55
1	5	A1	55
1	6	A1	55
1	7	A1	55
1	8	A1	55
1	9	A1	55
1	10	A1	55
1	11	A1	55
1	12	A1	55
1	13	A1	55
1	14	A1	55
1	1	A1	56
1	2	A1	56
1	3	A1	56
1	4	A1	56
1	5	A1	56
1	6	A1	56
1	7	A1	56
1	8	A1	56
1	9	A1	56
1	10	A1	56
1	11	A1	56
1	12	A1	56
1	13	A1	56
1	14	A1	56
1	1	A1	57
1	2	A1	57
1	3	A1	57
1	4	A1	57
1	5	A1	57
1	6	A1	57
1	7	A1	57
1	8	A1	57
1	9	A1	57
1	10	A1	57
1	11	A1	57
1	12	A1	57
1	13	A1	57
1	14	A1	57
1	1	A1	58
1	2	A1	58
1	3	A1	58
1	4	A1	58
1	5	A1	58
1	6	A1	58
1	7	A1	58
1	8	A1	58
1	9	A1	58
1	10	A1	58
1	11	A1	58
1	12	A1	58
1	13	A1	58
1	14	A1	58
1	1	A1	59
1	2	A1	59
1	3	A1	59
1	4	A1	59
1	5	A1	59
1	6	A1	59
1	7	A1	59
1	8	A1	59
1	9	A1	59
1	10	A1	59
1	11	A1	59
1	12	A1	59
1	13	A1	59
1	14	A1	59
1	1	A1	60
1	2	A1	60
1	3	A1	60
1	4	A1	60
1	5	A1	60
1	6	A1	60
1	7	A1	60
1	8	A1	60
1	9	A1	60
1	10	A1	60
1	11	A1	60
1	12	A1	60
1	13	A1	60
1	14	A1	60
1	1	A1	61
1	2	A1	61
1	3	A1	61
1	4	A1	61
1	5	A1	61
1	6	A1	61
1	7	A1	61
1	8	A1	61
1	9	A1	61
1	10	A1	61
1	11	A1	61
1	12	A1	61
1	13	A1	61
1	14	A1	61
1	1	A1	62
1	2	A1	62
1	3	A1	62
1	4	A1	62
1	5	A1	62
1	6	A1	62
1	7	A1	62
1	8	A1	62
1	9	A1	62
1	10	A1	62
1	11	A1	62
1	12	A1	62
1	13	A1	62
1	14	A1	62
1	1	A1	63
1	2	A1	63
1	3	A1	63
1	4	A1	63
1	5	A1	63
1	6	A1	63
1	7	A1	63
1	8	A1	63
1	9	A1	63
1	10	A1	63
1	11	A1	63
1	12	A1	63
1	13	A1	63
1	14	A1	63
1	1	A1	64
1	2	A1	64
1	3	A1	64
1	4	A1	64
1	5	A1	64
1	6	A1	64
1	7	A1	64
1	8	A1	64
1	9	A1	64
1	10	A1	64
1	11	A1	64
1	12	A1	64
1	13	A1	64
1	14	A1	64
1	1	A1	65
1	2	A1	65
1	3	A1	65
1	4	A1	65
1	5	A1	65
1	6	A1	65
1	7	A1	65
1	8	A1	65
1	9	A1	65
1	10	A1	65
1	11	A1	65
1	12	A1	65
1	13	A1	65
1	14	A1	65
1	1	A1	66
1	2	A1	66
1	3	A1	66
1	4	A1	66
1	5	A1	66
1	6	A1	66
1	7	A1	66
1	8	A1	66
1	9	A1	66
1	10	A1	66
1	11	A1	66
1	12	A1	66
1	13	A1	66
1	14	A1	66
1	1	A1	67
1	2	A1	67
1	3	A1	67
1	4	A1	67
1	5	A1	67
1	6	A1	67
1	7	A1	67
1	8	A1	67
1	9	A1	67
1	10	A1	67
1	11	A1	67
1	12	A1	67
1	13	A1	67
1	14	A1	67
1	1	A1	68
1	2	A1	68
1	3	A1	68
1	4	A1	68
1	5	A1	68
1	6	A1	68
1	7	A1	68
1	8	A1	68
1	9	A1	68
1	10	A1	68
1	11	A1	68
1	12	A1	68
1	13	A1	68
1	14	A1	68
1	1	A1	69
1	2	A1	69
1	3	A1	69
1	4	A1	69
1	5	A1	69
1	6	A1	69
1	7	A1	69
1	8	A1	69
1	9	A1	69
1	10	A1	69
1	11	A1	69
1	12	A1	69
1	13	A1	69
1	14	A1	69
1	1	A1	70
1	2	A1	70
1	3	A1	70
1	4	A1	70
1	5	A1	70
1	6	A1	70
1	7	A1	70
1	8	A1	70
1	9	A1	70
1	10	A1	70
1	11	A1	70
1	12	A1	70
1	13	A1	70
1	14	A1	70
1	1	A1	71
1	2	A1	71
1	3	A1	71
1	4	A1	71
1	5	A1	71
1	6	A1	71
1	7	A1	71
1	8	A1	71
1	9	A1	71
1	10	A1	71
1	11	A1	71
1	12	A1	71
1	13	A1	71
1	14	A1	71
1	1	A1	72
1	2	A1	72
1	3	A1	72
1	4	A1	72
1	5	A1	72
1	6	A1	72
1	7	A1	72
1	8	A1	72
1	9	A1	72
1	10	A1	72
1	11	A1	72
1	12	A1	72
1	13	A1	72
1	14	A1	72
1	1	A1	73
1	2	A1	73
1	3	A1	73
1	4	A1	73
1	5	A1	73
1	6	A1	73
1	7	A1	73
1	8	A1	73
1	9	A1	73
1	10	A1	73
1	11	A1	73
1	12	A1	73
1	13	A1	73
1	14	A1	73
1	1	A1	74
1	2	A1	74
1	3	A1	74
1	4	A1	74
1	5	A1	74
1	6	A1	74
1	7	A1	74
1	8	A1	74
1	9	A1	74
1	10	A1	74
1	11	A1	74
1	12	A1	74
1	13	A1	74
1	14	A1	74
1	1	A1	75
1	2	A1	75
1	3	A1	75
1	4	A1	75
1	5	A1	75
1	6	A1	75
1	7	A1	75
1	8	A1	75
1	9	A1	75
1	10	A1	75
1	11	A1	75
1	12	A1	75
1	13	A1	75
1	14	A1	75
1	1	A1	76
1	2	A1	76
1	3	A1	76
1	4	A1	76
1	5	A1	76
1	6	A1	76
1	7	A1	76
1	8	A1	76
1	9	A1	76
1	10	A1	76
1	11	A1	76
1	12	A1	76
1	13	A1	76
1	14	A1	76
1	1	A1	77
1	2	A1	77
1	3	A1	77
1	4	A1	77
1	5	A1	77
1	6	A1	77
1	7	A1	77
1	8	A1	77
1	9	A1	77
1	10	A1	77
1	11	A1	77
1	12	A1	77
1	13	A1	77
1	14	A1	77
1	1	A1	78
1	2	A1	78
1	3	A1	78
1	4	A1	78
1	5	A1	78
1	6	A1	78
1	7	A1	78
1	8	A1	78
1	9	A1	78
1	10	A1	78
1	11	A1	78
1	12	A1	78
1	13	A1	78
1	14	A1	78
1	1	A1	79
1	2	A1	79
1	3	A1	79
1	4	A1	79
1	5	A1	79
1	6	A1	79
1	7	A1	79
1	8	A1	79
1	9	A1	79
1	10	A1	79
1	11	A1	79
1	12	A1	79
1	13	A1	79
1	14	A1	79
1	1	A1	80
1	2	A1	80
1	3	A1	80
1	4	A1	80
1	5	A1	80
1	6	A1	80
1	7	A1	80
1	8	A1	80
1	9	A1	80
1	10	A1	80
1	11	A1	80
1	12	A1	80
1	13	A1	80
1	14	A1	80
1	1	A1	81
1	2	A1	81
1	3	A1	81
1	4	A1	81
1	5	A1	81
1	6	A1	81
1	7	A1	81
1	8	A1	81
1	9	A1	81
1	10	A1	81
1	11	A1	81
1	12	A1	81
1	13	A1	81
1	14	A1	81
1	1	A1	82
1	2	A1	82
1	3	A1	82
1	4	A1	82
1	5	A1	82
1	6	A1	82
1	7	A1	82
1	8	A1	82
1	9	A1	82
1	10	A1	82
1	11	A1	82
1	12	A1	82
1	13	A1	82
1	14	A1	82
1	1	A1	83
1	2	A1	83
1	3	A1	83
1	4	A1	83
1	5	A1	83
1	6	A1	83
1	7	A1	83
1	8	A1	83
1	9	A1	83
1	10	A1	83
1	11	A1	83
1	12	A1	83
1	13	A1	83
1	14	A1	83
1	1	A1	84
1	2	A1	84
1	3	A1	84
1	4	A1	84
1	5	A1	84
1	6	A1	84
1	7	A1	84
1	8	A1	84
1	9	A1	84
1	10	A1	84
1	11	A1	84
1	12	A1	84
1	13	A1	84
1	14	A1	84
1	1	A1	85
1	2	A1	85
1	3	A1	85
1	4	A1	85
1	5	A1	85
1	6	A1	85
1	7	A1	85
1	8	A1	85
1	9	A1	85
1	10	A1	85
1	11	A1	85
1	12	A1	85
1	13	A1	85
1	14	A1	85
1	1	A1	86
1	2	A1	86
1	3	A1	86
1	4	A1	86
1	5	A1	86
1	6	A1	86
1	7	A1	86
1	8	A1	86
1	9	A1	86
1	10	A1	86
1	11	A1	86
1	12	A1	86
1	13	A1	86
1	14	A1	86
1	1	A1	87
1	2	A1	87
1	3	A1	87
1	4	A1	87
1	5	A1	87
1	6	A1	87
1	7	A1	87
1	8	A1	87
1	9	A1	87
1	10	A1	87
1	11	A1	87
1	12	A1	87
1	13	A1	87
1	14	A1	87
1	1	A1	88
1	2	A1	88
1	3	A1	88
1	4	A1	88
1	5	A1	88
1	6	A1	88
1	7	A1	88
1	8	A1	88
1	9	A1	88
1	10	A1	88
1	11	A1	88
1	12	A1	88
1	13	A1	88
1	14	A1	88
1	1	A1	89
1	2	A1	89
1	3	A1	89
1	4	A1	89
1	5	A1	89
1	6	A1	89
1	7	A1	89
1	8	A1	89
1	9	A1	89
1	10	A1	89
1	11	A1	89
1	12	A1	89
1	13	A1	89
1	14	A1	89
1	1	A1	90
1	2	A1	90
1	3	A1	90
1	4	A1	90
1	5	A1	90
1	6	A1	90
1	7	A1	90
1	8	A1	90
1	9	A1	90
1	10	A1	90
1	11	A1	90
1	12	A1	90
1	13	A1	90
1	14	A1	90
1	1	A1	91
1	2	A1	91
1	3	A1	91
1	4	A1	91
1	5	A1	91
1	6	A1	91
1	7	A1	91
1	8	A1	91
1	9	A1	91
1	10	A1	91
1	11	A1	91
1	12	A1	91
1	13	A1	91
1	14	A1	91
1	1	A1	92
1	2	A1	92
1	3	A1	92
1	4	A1	92
1	5	A1	92
1	6	A1	92
1	7	A1	92
1	8	A1	92
1	9	A1	92
1	10	A1	92
1	11	A1	92
1	12	A1	92
1	13	A1	92
1	14	A1	92
1	1	A1	93
1	2	A1	93
1	3	A1	93
1	4	A1	93
1	5	A1	93
1	6	A1	93
1	7	A1	93
1	8	A1	93
1	9	A1	93
1	10	A1	93
1	11	A1	93
1	12	A1	93
1	13	A1	93
1	14	A1	93
1	1	A1	94
1	2	A1	94
1	3	A1	94
1	4	A1	94
1	5	A1	94
1	6	A1	94
1	7	A1	94
1	8	A1	94
1	9	A1	94
1	10	A1	94
1	11	A1	94
1	12	A1	94
1	13	A1	94
1	14	A1	94
1	1	A1	95
1	2	A1	95
1	3	A1	95
1	4	A1	95
1	5	A1	95
1	6	A1	95
1	7	A1	95
1	8	A1	95
1	9	A1	95
1	10	A1	95
1	11	A1	95
1	12	A1	95
1	13	A1	95
1	14	A1	95
1	1	A1	96
1	2	A1	96
1	3	A1	96
1	4	A1	96
1	5	A1	96
1	6	A1	96
1	7	A1	96
1	8	A1	96
1	9	A1	96
1	10	A1	96
1	11	A1	96
1	12	A1	96
1	13	A1	96
1	14	A1	96
1	1	A1	97
1	2	A1	97
1	3	A1	97
1	4	A1	97
1	5	A1	97
1	6	A1	97
1	7	A1	97
1	8	A1	97
1	9	A1	97
1	10	A1	97
1	11	A1	97
1	12	A1	97
1	13	A1	97
1	14	A1	97
1	1	A1	98
1	2	A1	98
1	3	A1	98
1	4	A1	98
1	5	A1	98
1	6	A1	98
1	7	A1	98
1	8	A1	98
1	9	A1	98
1	10	A1	98
1	11	A1	98
1	12	A1	98
1	13	A1	98
1	14	A1	98
1	1	A1	99
1	2	A1	99
1	3	A1	99
1	4	A1	99
1	5	A1	99
1	6	A1	99
1	7	A1	99
1	8	A1	99
1	9	A1	99
1	10	A1	99
1	11	A1	99
1	12	A1	99
1	13	A1	99
1	14	A1	99
1	1	A1	100
1	2	A1	100
1	3	A1	100
1	4	A1	100
1	5	A1	100
1	6	A1	100
1	7	A1	100
1	8	A1	100
1	9	A1	100
1	10	A1	100
1	11	A1	100
1	12	A1	100
1	13	A1	100
1	14	A1	100
1	1	A1	101
1	2	A1	101
1	3	A1	101
1	4	A1	101
1	5	A1	101
1	6	A1	101
1	7	A1	101
1	8	A1	101
1	9	A1	101
1	10	A1	101
1	11	A1	101
1	12	A1	101
1	13	A1	101
1	14	A1	101
1	1	A1	102
1	2	A1	102
1	3	A1	102
1	4	A1	102
1	5	A1	102
1	6	A1	102
1	7	A1	102
1	8	A1	102
1	9	A1	102
1	10	A1	102
1	11	A1	102
1	12	A1	102
1	13	A1	102
1	14	A1	102
1	1	A1	103
1	2	A1	103
1	3	A1	103
1	4	A1	103
1	5	A1	103
1	6	A1	103
1	7	A1	103
1	8	A1	103
1	9	A1	103
1	10	A1	103
1	11	A1	103
1	12	A1	103
1	13	A1	103
1	14	A1	103
1	1	A1	104
1	2	A1	104
1	3	A1	104
1	4	A1	104
1	5	A1	104
1	6	A1	104
1	7	A1	104
1	8	A1	104
1	9	A1	104
1	10	A1	104
1	11	A1	104
1	12	A1	104
1	13	A1	104
1	14	A1	104
1	1	A1	105
1	2	A1	105
1	3	A1	105
1	4	A1	105
1	5	A1	105
1	6	A1	105
1	7	A1	105
1	8	A1	105
1	9	A1	105
1	10	A1	105
1	11	A1	105
1	12	A1	105
1	13	A1	105
1	14	A1	105
1	1	A1	106
1	2	A1	106
1	3	A1	106
1	4	A1	106
1	5	A1	106
1	6	A1	106
1	7	A1	106
1	8	A1	106
1	9	A1	106
1	10	A1	106
1	11	A1	106
1	12	A1	106
1	13	A1	106
1	14	A1	106
1	1	A1	107
1	2	A1	107
1	3	A1	107
1	4	A1	107
1	5	A1	107
1	6	A1	107
1	7	A1	107
1	8	A1	107
1	9	A1	107
1	10	A1	107
1	11	A1	107
1	12	A1	107
1	13	A1	107
1	14	A1	107
1	1	A1	108
1	2	A1	108
1	3	A1	108
1	4	A1	108
1	5	A1	108
1	6	A1	108
1	7	A1	108
1	8	A1	108
1	9	A1	108
1	10	A1	108
1	11	A1	108
1	12	A1	108
1	13	A1	108
1	14	A1	108
1	1	A1	109
1	2	A1	109
1	3	A1	109
1	4	A1	109
1	5	A1	109
1	6	A1	109
1	7	A1	109
1	8	A1	109
1	9	A1	109
1	10	A1	109
1	11	A1	109
1	12	A1	109
1	13	A1	109
1	14	A1	109
1	1	A1	110
1	2	A1	110
1	3	A1	110
1	4	A1	110
1	5	A1	110
1	6	A1	110
1	7	A1	110
1	8	A1	110
1	9	A1	110
1	10	A1	110
1	11	A1	110
1	12	A1	110
